time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18090989743087,0.555176,2.44409,4.97974,0,0,0
18090990014383,0.555176,2.44409,4.97974,0,0,0
18090990227309,0.555176,2.44409,4.97974,0,0,0
18090990436809,0.555176,2.44409,4.97974,0,0,0
18090990644920,0.555176,2.44409,4.97974,0,0,0
18090990853772,0.555176,2.44409,4.97974,0,0,0
18090991061754,2.75244,0.246826,-5.27417,0,0,0
18090991270365,2.75244,0.246826,-5.27417,0,0,0
18090991478735,2.75244,0.246826,-5.27417,0,0,0
18090991686661,2.75244,0.246826,-5.27417,0,0,0
18090991895698,2.75244,0.246826,-5.27417,0,0,0
18090992090735,2.75244,0.246826,-5.27417,0,0,0
18090992310457,2.75244,0.246826,-5.27417,0,0,0
18090992518735,2.75244,0.246826,-5.27417,0,0,0
18090992726587,2.75244,0.246826,-5.27417,0,0,0
18090992935828,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090993146476,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090993355420,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090993564383,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090993773291,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090993990920,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090994200809,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090994409291,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090994617772,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090994826642,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090995035605,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090995244494,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090995452346,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090995661050,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090995869216,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090996074716,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090996293124,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090996501050,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090996709587,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090996918254,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090997133531,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090997342791,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090997551661,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090997760365,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090997968828,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090998178828,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090998387661,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090998596142,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090998804161,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090999012809,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090999221383,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090999429735,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090999638346,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18090999846402,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091000071161,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091000297402,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091000507198,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091000715642,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091000923846,2.75244,0.246826,-5.27417,0.305185,0.305185,0.335704
18091001132161,2.02002,-0.485596,-0.879639,0.305185,0.305185,0.335704
18091001341994,2.02002,-0.485596,-0.879639,0.305185,0.305185,0.335704
18091001550939,2.02002,-0.485596,-0.879639,0.305185,0.305185,0.335704
