Dictionary,Rotation Vector,Translation Vector
0,[[[-0.21073017 -3.12066749  0.12415816]]],[[[-0.73547328 -0.24555198  1.49317962]]]
0,[[[-0.25270146 -3.11730101  0.12253802]]],[[[-0.74083988 -0.24194512  1.48765179]]]
0,[[[ 0.22976782  3.15245255 -0.07347684]]],[[[-0.73706093 -0.2391715   1.48221725]]]
0,[[[ 0.23250464  3.21153786 -0.10654959]]],[[[-0.72154938 -0.23183438  1.45470351]]]
0,[[[-0.23241425 -3.0799278   0.08748681]]],[[[-0.72033716 -0.23115215  1.45706598]]]
0,[[[ 0.22984114  3.15251735 -0.07424047]]],[[[-0.73064024 -0.23487979  1.48227164]]]
0,[[[ 0.22199188  3.19709086 -0.04501919]]],[[[-0.73322137 -0.23695322  1.48858076]]]
0,[[[-0.21970182 -3.04085478  0.05970329]]],[[[-0.7217374  -0.23422555  1.46309672]]]
0,[[[-0.21979886 -3.04085243  0.05987846]]],[[[-0.7217379  -0.2331645   1.46309774]]]
0,[[[ 0.23257987  3.21189701 -0.1071884 ]]],[[[-0.7173374  -0.22972624  1.45471666]]]
0,[[[-0.22010893 -3.04061531  0.06061489]]],[[[-0.71961879 -0.22892038  1.4631024 ]]]
0,[[[0.13085987 2.154255   0.47881758]]],[[[-0.72611399 -0.23006613  1.47951102]]]
0,[[[-0.23868551 -3.07765087  0.09038862]]],[[[-0.73371667 -0.23247615  1.49619779]]]
0,[[[ 0.23278345  3.21209262 -0.10794958]]],[[[-0.71419799 -0.22656863  1.45476653]]]
0,[[[ 0.23271546  3.21202744 -0.10769498]]],[[[-0.71524443 -0.22762118  1.45474979]]]
0,[[[ 0.23274527  3.21191194 -0.10762547]]],[[[-0.71630396 -0.22762272  1.45475972]]]
0,[[[-0.24069117 -3.08622846  0.13876031]]],[[[-0.73191149 -0.23188195  1.4853847 ]]]
0,[[[ 0.24670957  3.17139751 -0.13957439]]],[[[-0.73276162 -0.23090231  1.48601701]]]
0,[[[ 0.25499384  3.12909859 -0.17322114]]],[[[-0.72845504 -0.22938688  1.47621911]]]
0,[[[ 0.24666776  3.17139683 -0.13930499]]],[[[-0.73382343 -0.23197522  1.48598557]]]
0,[[[ 0.24659942  3.17148205 -0.13916088]]],[[[-0.73379579 -0.23304426  1.48592955]]]
0,[[[0.13055799 2.14844728 0.48232247]]],[[[-0.73146123 -0.23328019  1.47948025]]]
0,[[[0.13051256 2.1472149  0.48359691]]],[[[-0.73252484 -0.23435026  1.47946232]]]
0,[[[0.13042978 2.14616379 0.48343244]]],[[[-0.73360306 -0.23435216  1.47947398]]]
0,[[[-0.21446234 -3.08015895  0.08712201]]],[[[-0.73366808 -0.23385071  1.47915112]]]
0,[[[ 0.24654263  3.1713937  -0.13850187]]],[[[-0.73700897 -0.23519382  1.485892  ]]]
0,[[[0.13042978 2.14616379 0.48343244]]],[[[-0.73360306 -0.23435216  1.47947398]]]
0,[[[-0.25290395 -3.11755851  0.12327419]]],[[[-0.73880547 -0.23658927  1.48789896]]]
0,[[[-0.21435212 -3.08018278  0.08679921]]],[[[-0.73471723 -0.23598898  1.47910439]]]
0,[[[-0.22098577 -3.05193046  0.10119339]]],[[[-0.72260884 -0.23183593  1.45471327]]]
0,[[[-0.25290395 -3.11755851  0.12327419]]],[[[-0.73880547 -0.23658927  1.48789896]]]
0,[[[-0.23994089 -3.08699216  0.13455699]]],[[[-0.73807085 -0.23626664  1.48586106]]]
0,[[[ 0.22986241  3.15234864 -0.07378053]]],[[[-0.73602857 -0.23595976  1.48230233]]]
0,[[[-0.21500688 -3.07970269  0.0898103 ]]],[[[-0.73392764 -0.23590799  1.47859364]]]
0,[[[-0.21431932 -3.08009782  0.08686075]]],[[[-0.73363924 -0.23598716  1.47909294]]]
0,[[[ 0.24640598  3.17156182 -0.1382155 ]]],[[[-0.73695407 -0.23733164  1.48578124]]]
0,[[[-0.21424782 -3.08006756  0.08673012]]],[[[-0.73362495 -0.23705536  1.47906411]]]
0,[[[-0.21626767 -3.08841422  0.13444843]]],[[[-0.72860467 -0.23642153  1.46841106]]]
0,[[[-0.21479018 -3.07961446  0.08941084]]],[[[-0.73388434 -0.23911126  1.47850634]]]
0,[[[0.13053291 2.14420599 0.49045089]]],[[[-0.73460906 -0.23969475  1.4793398 ]]]
0,[[[-0.241129   -3.09242182  0.1817947 ]]],[[[-0.73214137 -0.23963556  1.47339059]]]
0,[[[ 0.22249594  3.18368047 -0.09297949]]],[[[-0.73529279 -0.2408304   1.47918441]]]
0,[[[-0.2140282  -3.08011815  0.08608779]]],[[[-0.73572426 -0.2413317   1.47897306]]]
0,[[[0.130524   2.14279155 0.49315413]]],[[[-0.73565875 -0.24183285  1.47929409]]]
0,[[[-0.21604035 -3.08836451  0.13364567]]],[[[-0.73065116 -0.24065455  1.46824489]]]
0,[[[-2.02938931  0.0088913  -1.6142812 ]]],[[[-1.63957669 -1.16255956  3.51923034]]]
0,[[[ 0.21073455  3.15505768 -0.07206286]]],[[[-0.74853675 -0.24962782  1.50474634]]]
0,[[[-0.21367175 -3.07997378  0.08543802]]],[[[-0.73565542 -0.24667229  1.47883459]]]
0,[[[-0.21360048 -3.0799455   0.08530809]]],[[[-0.73564191 -0.24774037  1.47880741]]]
0,[[[-0.21063202 -3.1206463   0.12289117]]],[[[-0.74190456 -0.25094546  1.4930509 ]]]
0,[[[ 0.22192574  3.17231627 -0.13727562]]],[[[-0.72972284 -0.24762323  1.46851954]]]
0,[[[-0.24036136 -3.09167737  0.18026946]]],[[[-0.73180163 -0.24913795  1.4727064 ]]]
0,[[[ 0.21054099  3.15534011 -0.07175632]]],[[[-0.74736028 -0.25505582  1.50457397]]]
0,[[[-0.24022649 -3.09149211  0.18025162]]],[[[-0.73067736 -0.25018678  1.47259227]]]
0,[[[ 0.21049153  3.1554338  -0.07174988]]],[[[-0.74624748 -0.25613958  1.50452956]]]
0,[[[-0.21324767 -3.07966497  0.08490193]]],[[[-0.73343386 -0.2520089   1.47867858]]]
0,[[[ 0.21045509  3.15548046 -0.07167391]]],[[[-0.74623191 -0.2572255   1.50449816]]]
0,[[[-0.21036102 -3.12021863  0.12253499]]],[[[-0.74065817 -0.25630348  1.49272023]]]
0,[[[ 0.20263517  3.1751002  -0.13700423]]],[[[-0.73978858 -0.25698883  1.49040726]]]
0,[[[-0.18890045 -3.07206318  0.04191425]]],[[[-0.73009703 -0.2552052   1.47087127]]]
0,[[[-0.21018678 -3.11994044  0.12236864]]],[[[-0.73947292 -0.25951546  1.49251209]]]
0,[[[-0.21282205 -3.07936055  0.08435986]]],[[[-0.73121524 -0.25734526  1.4785276 ]]]
0,[[[ 0.19579702  3.19887797 -0.04048343]]],[[[-0.72552628 -0.25635208  1.4713334 ]]]
0,[[[ 0.19570701  3.19897175 -0.04035826]]],[[[-0.7244606  -0.25741963  1.47133543]]]
0,[[[-0.21257468 -3.07905171  0.08426126]]],[[[-0.72795905 -0.25947566  1.47844529]]]
0,[[[ 0.18679106  3.15595313 -0.07298328]]],[[[-0.73230176 -0.26200755  1.48673588]]]
0,[[[ 0.19680498  3.17513063 -0.13350463]]],[[[-0.71557087 -0.2560103   1.45115426]]]
0,[[[-0.1789144  -3.113395    0.06939742]]],[[[-0.71442203 -0.256097    1.44723934]]]
0,[[[ 0.18184447  3.15565277 -0.07087494]]],[[[-0.71582032 -0.25779765  1.44794661]]]
0,[[[-0.17876946 -3.11337061  0.06882168]]],[[[-0.71751862 -0.26132699  1.44713626]]]
0,[[[-0.18496072 -3.08415053  0.08241324]]],[[[-0.7070962  -0.2599949   1.42401749]]]
0,[[[ 0.15824304  3.15760261 -0.06736181]]],[[[-0.71132274 -0.26385845  1.43097914]]]
0,[[[-0.1740149  -3.114116    0.06653067]]],[[[-0.70175881 -0.26232791  1.41019552]]]
0,[[[-0.17603641 -3.1220509   0.11148819]]],[[[-0.69745926 -0.26146083  1.40003081]]]
0,[[[-0.15297907 -3.11672756  0.06787964]]],[[[-0.69618867 -0.26066042  1.39443207]]]
0,[[[0.09948227 2.16943547 0.55644392]]],[[[-0.69111679 -0.25858696  1.38122169]]]
0,[[[-0.16972003 -3.11512959  0.06439939]]],[[[-0.69083914 -0.25931488  1.3752291 ]]]
0,[[[ 0.18285001  3.1149716  -0.09762361]]],[[[-0.68975494 -0.25947693  1.36815788]]]
0,[[[ 0.18284586  3.11512483 -0.09730433]]],[[[-0.69171171 -0.2614514   1.36810434]]]
0,[[[ 0.16813795  3.15493687 -0.06361076]]],[[[-0.6807533  -0.2589976   1.34255821]]]
0,[[[-0.14482201 -3.1187148   0.06035511]]],[[[-0.67407929 -0.25690588  1.32797157]]]
0,[[[ 0.13352243  3.19348454 -0.03418051]]],[[[-0.66097742 -0.25237526  1.30213909]]]
0,[[[0.10165152 2.12495847 0.49297917]]],[[[-0.65165061 -0.24884888  1.28565561]]]
0,[[[-0.15261793 -3.14687035  0.04671562]]],[[[-0.65865099 -0.25176751  1.29898499]]]
0,[[[ 0.15347713  3.1186307  -0.08903075]]],[[[-0.65489658 -0.25100964  1.2902023 ]]]
0,[[[-0.17373342 -3.15687784  0.13251131]]],[[[-0.64292882 -0.24705144  1.26392051]]]
0,[[[-0.15629637 -3.12539035  0.09711838]]],[[[-0.63324478 -0.24342432  1.24309025]]]
0,[[[0.08292582 2.12611496 0.52056126]]],[[[-0.62310125 -0.23916285  1.22194899]]]
0,[[[0.07452362 2.15373725 0.54422081]]],[[[-0.62158819 -0.23718733  1.21638944]]]
0,[[[ 0.16187101  3.16946203 -0.10672975]]],[[[-0.61605449 -0.23345344  1.19993721]]]
0,[[[-0.14789063 -3.11964317  0.0553318 ]]],[[[-0.61694898 -0.232663    1.19704089]]]
0,[[[-0.13950292 -3.14685524  0.04194715]]],[[[-0.6134234  -0.23106275  1.18771148]]]
0,[[[-0.14483423 -3.12029287  0.05416023]]],[[[-0.60603623 -0.22732194  1.1717465 ]]]
0,[[[-0.13657359 -3.14688988  0.04099665]]],[[[-0.60183021 -0.22495458  1.16281648]]]
0,[[[0.06931098 2.1458516  0.53095896]]],[[[-0.59121455 -0.22052856  1.14163266]]]
0,[[[ 0.15291968  3.11947614 -0.0792505 ]]],[[[-0.59292052 -0.22096237  1.14320568]]]
0,[[[ 0.14166458  3.09571925 -0.06203355]]],[[[-0.5900633  -0.219079    1.13454232]]]
0,[[[-0.18430934 -3.18511953  0.14895292]]],[[[-0.58226565 -0.21519868  1.11644512]]]
0,[[[0.07129115 2.16520995 0.52206401]]],[[[-0.57366171 -0.21132866  1.09817302]]]
0,[[[0.05821008 2.16460226 0.54914189]]],[[[-0.57123062 -0.21085539  1.09162896]]]
0,[[[ 0.14407046  3.120746   -0.07386127]]],[[[-0.56431004 -0.20850982  1.07675443]]]
0,[[[-0.15003154 -3.12960752  0.08383931]]],[[[-0.55744519 -0.2061652   1.0636387 ]]]
0,[[[-0.16835312 -3.17526108  0.06331797]]],[[[-0.55898771 -0.20596413  1.06661517]]]
0,[[[ 0.15542854  3.11425789 -0.10266876]]],[[[-0.54522382 -0.19963078  1.03962168]]]
0,[[[ 0.16910053  3.11302117 -0.10378083]]],[[[-0.53948762 -0.1974131   1.02904012]]]
0,[[[ 0.17630704  3.0902971  -0.09601314]]],[[[-0.54053696 -0.19834113  1.02999042]]]
0,[[[ 0.16484094  3.12089965 -0.06980728]]],[[[-0.5330535  -0.19595298  1.0157093 ]]]
0,[[[ 0.14851327  3.12260323 -0.06710422]]],[[[-0.52848985 -0.19415933  1.00736108]]]
0,[[[ 0.15524588  3.14238035 -0.07769092]]],[[[-0.52270941 -0.19185457  0.99632749]]]
0,[[[-0.17612065 -3.14964847  0.06992677]]],[[[-0.51898281 -0.19098938  0.98719267]]]
0,[[[ 0.13722467  3.10086189 -0.0543734 ]]],[[[-0.51710093 -0.19141381  0.98295433]]]
0,[[[ 0.15148396  3.09526109 -0.0871856 ]]],[[[-0.50959793 -0.18939417  0.96802897]]]
0,[[[ 0.14643932  3.10272448 -0.05091609]]],[[[-0.50307394 -0.18749977  0.95661974]]]
0,[[[ 0.159159    3.10146864 -0.05292234]]],[[[-0.49751722 -0.18557802  0.94768735]]]
0,[[[-0.14809137 -3.17184686  0.05515614]]],[[[-0.49298055 -0.18390632  0.94001878]]]
0,[[[ 0.15651268  3.1021593  -0.05208768]]],[[[-0.48813558 -0.18279482  0.93174752]]]
0,[[[-0.12384514 -3.1192198   0.01328601]]],[[[-0.47966702 -0.18024654  0.91458917]]]
0,[[[-0.1431728  -3.17089801  0.0531476 ]]],[[[-0.4774471  -0.17918517  0.90914351]]]
0,[[[-0.15695989 -3.1735908   0.0841291 ]]],[[[-0.47174054 -0.17685004  0.89642502]]]
0,[[[ 0.14175242  3.1307492  -0.02935223]]],[[[-0.46879092 -0.17554268  0.88987571]]]
0,[[[-0.13853986 -3.17001623  0.051067  ]]],[[[-0.46419825 -0.17413339  0.88027055]]]
0,[[[0.0732574  2.1554679  0.51980896]]],[[[-0.45994742 -0.17286405  0.8722732 ]]]
0,[[[ 0.1393991   3.12458159 -0.05849495]]],[[[-0.45359563 -0.17058396  0.85837897]]]
0,[[[ 0.13522905  3.13137001 -0.02784885]]],[[[-0.44877238 -0.16839447  0.84895531]]]
0,[[[ 0.14744331  3.12555794 -0.05516171]]],[[[-0.44342971 -0.16582907  0.83827781]]]
0,[[[ 0.15871385  3.12424321 -0.05672155]]],[[[-0.44026701 -0.16432741  0.83144499]]]
0,[[[ 0.14865797  3.11430013 -0.01674509]]],[[[-0.44029832 -0.16450012  0.83009422]]]
0,[[[ 0.15212396  3.10207289 -0.07285998]]],[[[-0.43715698 -0.16431719  0.82305717]]]
0,[[[0.09005636 2.16532412 0.49653065]]],[[[-0.43451737 -0.16377184  0.8182337 ]]]
0,[[[ 0.13916844  3.09606905 -0.00647282]]],[[[-0.43268434 -0.16342862  0.81353469]]]
0,[[[ 0.16564121  3.08358854 -0.06352755]]],[[[-0.42927044 -0.16270518  0.80547884]]]
0,[[[ 0.15439066  3.11393751 -0.01456904]]],[[[-0.42789949 -0.16243003  0.7998873 ]]]
0,[[[0.08101961 2.17563856 0.51985604]]],[[[-0.42515737 -0.16206127  0.79253906]]]
