Dictionary,Rotation Vector,Translation Vector
0,[[[0.12562694 2.06077747 0.51768738]]],[[[-0.81455926 -0.17146832  1.47847295]]]
0,[[[ 0.32730791  3.1203194  -0.2791855 ]]],[[[-0.82245941 -0.17218361  1.50727542]]]
0,[[[ 0.30159049  3.13345294 -0.22974627]]],[[[-0.82007536 -0.17151793  1.50390166]]]
0,[[[-0.29869712 -3.10411675  0.22744704]]],[[[-0.82001126 -0.17259524  1.50378405]]]
0,[[[-0.28734845 -3.07533092  0.23905011]]],[[[-0.81837546 -0.17339718  1.5012704 ]]]
0,[[[0.12640705 2.06946892 0.51971563]]],[[[-0.80468218 -0.17141837  1.47804803]]]
0,[[[ 0.31342707  3.17170702 -0.19963651]]],[[[-0.81086038 -0.17380098  1.48846873]]]
0,[[[ 0.30618742  3.18653353 -0.2564856 ]]],[[[-0.80451362 -0.17340423  1.47582894]]]
0,[[[0.12150853 2.09648697 0.5165902 ]]],[[[-0.81925392 -0.17728673  1.50279987]]]
0,[[[ 0.32583629  3.1115931  -0.32017748]]],[[[-0.81454153 -0.17708898  1.49326439]]]
0,[[[ 0.31268287  3.16029418 -0.2424937 ]]],[[[-0.80618663 -0.1757352   1.47743588]]]
0,[[[-0.29824625 -3.10348389  0.22628704]]],[[[-0.82074826 -0.17906249  1.50313677]]]
0,[[[ 0.30594024  3.18672976 -0.25541097]]],[[[-0.80653216 -0.17658892  1.47560683]]]
0,[[[ 0.30119435  3.13456413 -0.22818144]]],[[[-0.82180358 -0.18014517  1.50307377]]]
0,[[[-0.28682178 -3.07495778  0.23747314]]],[[[-0.82024098 -0.17986223  1.50070061]]]
0,[[[0.12647057 2.06620406 0.52598639]]],[[[-0.80658313 -0.1767247   1.47760463]]]
0,[[[0.12647057 2.06620406 0.52598639]]],[[[-0.80658313 -0.1767247   1.47760463]]]
0,[[[0.14298161 2.06478914 0.53698988]]],[[[-0.81492549 -0.1783415   1.49337442]]]
0,[[[-0.31067734 -3.13261911  0.21756569]]],[[[-0.82127136 -0.18032808  1.50460797]]]
0,[[[-0.34058392 -3.10094205  0.26999594]]],[[[-0.80929071 -0.17716726  1.4826476 ]]]
0,[[[ 0.31259851  3.16044219 -0.2423113 ]]],[[[-0.80612797 -0.17679394  1.47732832]]]
0,[[[ 0.31259851  3.16044219 -0.2423113 ]]],[[[-0.80612797 -0.17679394  1.47732832]]]
0,[[[ 0.31311769  3.17209645 -0.198784  ]]],[[[-0.81176719 -0.1780816   1.48815269]]]
0,[[[ 0.30114193  3.13470388 -0.22863401]]],[[[-0.8195666  -0.18013258  1.50296812]]]
0,[[[-0.32769464 -3.06946539  0.23518692]]],[[[-0.81430757 -0.17945809  1.49281314]]]
0,[[[ 0.30108489  3.13485891 -0.22849387]]],[[[-0.81950365 -0.18120879  1.50285261]]]
0,[[[ 0.31286341  3.1724552  -0.19827685]]],[[[-0.81162551 -0.1812881   1.48789282]]]
0,[[[ 0.30091254  3.13532222 -0.22807203]]],[[[-0.81931565 -0.18443661  1.50250765]]]
0,[[[-0.32720494 -3.07297877  0.27509037]]],[[[-0.80744411 -0.1833823   1.48072662]]]
0,[[[ 0.33534819  3.1504534  -0.28181107]]],[[[-0.80737683 -0.18444092  1.48060317]]]
0,[[[-0.32284237 -3.10106187  0.27110247]]],[[[-0.82084554 -0.1888827   1.50531584]]]
0,[[[ 0.33517208  3.15079695 -0.28141192]]],[[[-0.80724278 -0.18655773  1.48035718]]]
0,[[[ 0.32651894  3.13400765 -0.23115891]]],[[[-0.82693724 -0.19211815  1.51799722]]]
0,[[[ 0.33290476  3.09424213 -0.26381694]]],[[[-0.81996047 -0.19172587  1.50620996]]]
0,[[[ 0.29103751  3.10688987 -0.22067282]]],[[[-0.82994978 -0.19603841  1.52709926]]]
0,[[[ 0.28338371  3.13734143 -0.23288851]]],[[[-0.82808715 -0.198006    1.52518397]]]
0,[[[ 0.290731    3.09750115 -0.26571092]]],[[[-0.81986505 -0.19863765  1.51308882]]]
0,[[[-0.28466231 -3.07240578  0.23581728]]],[[[-0.81038758 -0.19699866  1.49857353]]]
0,[[[0.12221552 2.09856095 0.58527983]]],[[[-0.81115707 -0.19677649  1.50394066]]]
0,[[[ 0.31530772  3.09697506 -0.26772289]]],[[[-0.82405068 -0.19940586  1.5295092 ]]]
0,[[[ 0.31528005  3.09703358 -0.26800706]]],[[[-0.82289837 -0.19939537  1.52942844]]]
0,[[[ 0.31521296  3.09729154 -0.26815543]]],[[[-0.82166938 -0.20047541  1.52920466]]]
