Dictionary,Rotation Vector,Translation Vector
0,[[[-0.0373975   3.12734194 -0.06116341]]],[[[-0.63612125 -0.26514123  1.47866024]]]
0,[[[-0.06062703  3.07540728 -0.10303868]]],[[[-0.63882872 -0.26903347  1.46767445]]]
0,[[[-0.0772094   3.12685329 -0.0580199 ]]],[[[-0.63143752 -0.26632046  1.43867951]]]
0,[[[-0.06169342  2.28253018  0.44534857]]],[[[-0.62898559 -0.26375962  1.42121446]]]
0,[[[ 0.05728329 -3.1517947   0.05458596]]],[[[-0.63415761 -0.26430214  1.42081948]]]
0,[[[-0.01948245  3.0798394  -0.09722533]]],[[[-0.64378304 -0.26653228  1.43137327]]]
0,[[[-0.05030019  3.11398863 -0.11368035]]],[[[-0.63904707 -0.26373375  1.409463  ]]]
0,[[[-0.03550021  3.12857563 -0.0545951 ]]],[[[-0.64153158 -0.26391978  1.40371037]]]
0,[[[-0.07525554  3.12745041 -0.05390684]]],[[[-0.64554881 -0.26521596  1.40248928]]]
0,[[[-0.05008626  3.11530572 -0.10406794]]],[[[-0.63742592 -0.26179229  1.3751041 ]]]
0,[[[-0.05819547  3.08175866 -0.08937652]]],[[[-0.65063237 -0.26783196  1.39488848]]]
0,[[[-0.0979806   2.31152911  0.52221508]]],[[[-0.64901009 -0.26818224  1.38427597]]]
0,[[[-0.05561606  3.08376453 -0.09094406]]],[[[-0.64128759 -0.26657095  1.36005737]]]
0,[[[-0.08883189  3.05892233 -0.01266615]]],[[[-0.6511728  -0.27270582  1.3736442 ]]]
0,[[[-0.08132205  3.0481273  -0.07260379]]],[[[-0.6478522  -0.2733614   1.36196168]]]
0,[[[-0.07405513  3.08358973 -0.08560997]]],[[[-0.64094173 -0.27132776  1.34331761]]]
0,[[[ 0.10149617 -3.18334177  0.02917106]]],[[[-0.63924631 -0.26973979  1.33670862]]]
0,[[[-0.05615699  3.04069773 -0.12534154]]],[[[-0.63895868 -0.26851023  1.33412303]]]
0,[[[-0.04332032  3.00439909 -0.11383809]]],[[[-0.64139254 -0.26902615  1.33669967]]]
0,[[[ 2.47575611 -0.02374181  0.0330445 ]]],[[[-0.53595238 -1.40557293  4.78814851]]]
0,[[[-0.06110753  3.05171588 -0.06638418]]],[[[-0.63198241 -0.26514227  1.31507168]]]
0,[[[-0.09774891  2.32363799  0.46766008]]],[[[-0.64127706 -0.2693212   1.33278632]]]
0,[[[-0.08483826  3.06497241 -0.01182944]]],[[[-0.63171224 -0.26643263  1.3085779 ]]]
0,[[[-0.12617336  2.9037228   0.18703059]]],[[[-0.68446599 -0.29072077  1.41419437]]]
0,[[[-0.11329258  2.2714891   0.47213005]]],[[[-0.63656664 -0.2720461   1.31214807]]]
