Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
0.0,0.022688330000000007,-0.05350951000000001,1.35299962,0.0019288932,0.07597307,1.4221767,0.7240728,-0.6306773,-0.27922174,-0.64393705,-0.763175,0.053935062,-0.24711066,0.1407483,-0.95871073,0.7246217,-0.63087094,0.27735394,-0.63087094,-0.77379584,-0.15637287,0.27735394,-0.056937028,-0.9479569,0.70069,-0.65627,-0.27989,-0.65594,-0.74688,0.10912,-0.28066,0.10714,-0.95381,0.0021610071,0.07584637,1.4214575
0.016707526025129482,0.026068350000000018,-0.054773670000000024,1.33048311,0.0061477446,0.08088331,1.4082208,0.74191463,-0.6478805,0.17266591,-0.607544,-0.75852555,-0.23564649,0.28364226,0.06992744,-0.95637715,0.7397187,-0.64808756,-0.18110436,-0.64808756,-0.76123285,0.1253312,-0.18110436,0.022518203,-0.9754452,0.71607,-0.65211,-0.24899,-0.64238,-0.7552,0.13045,-0.2731,0.06654,-0.95968,0.005994645,0.081017755,1.4078583
0.03352342301514,0.03125532,-0.058839100000000005,1.2827115400000002,0.008378489,0.0822838,1.335223,0.7224999,-0.63524693,-0.27286482,-0.65041226,-0.7583464,0.043297466,-0.23443063,0.14619222,-0.9610776,0.72568446,-0.636371,0.26156074,-0.636371,-0.77012694,-0.16176285,0.26156074,-0.04400441,-0.9515349,0.66604,-0.70036,-0.25666,-0.67136,-0.71282,0.2029,-0.32506,0.03718,-0.94496,0.008613542,0.0821519,1.3345753
0.05025481301709078,0.03843063000000002,-0.06404984999999999,1.23179719,0.012350525,0.08349335,1.2636371,0.6880966,-0.64437246,0.33362734,-0.6416629,-0.7550349,-0.13487394,0.33880934,-0.121269986,-0.9330069,0.6820211,-0.6408122,-0.3524301,-0.6408122,-0.7316177,0.011202805,-0.3524301,0.23258395,-0.9357711,0.59876,-0.75551,-0.26588,-0.72174,-0.65289,0.22985,-0.34724,0.05427,-0.9362,0.01202831,0.083526544,1.2631176
0.06705639601568691,0.03980907,-0.06617116,1.20536528,0.014536851,0.08572518,1.2288185,0.6905585,-0.64760256,0.3220867,-0.64230126,-0.7538224,-0.13856731,0.3325327,-0.11118786,-0.93651444,0.68364793,-0.64360845,-0.34408388,-0.64360845,-0.7301862,0.008393358,-0.34408388,0.22933884,-0.9389014,0.56681,-0.7726,-0.28602,-0.7339,-0.63126,0.25079,-0.37432,0.06776,-0.92482,0.014217439,0.08578422,1.2286586
0.08385534601984546,0.04187830000000001,-0.06732118000000001,1.15039114,0.016264902,0.086826034,1.1944803,0.6830775,-0.6440676,-0.34435743,-0.6852586,-0.7282942,0.0028630171,-0.2526375,0.23401824,-0.93883425,0.69086593,-0.6486487,0.3193104,-0.6486487,-0.75322235,-0.13915816,0.3193104,-0.10913775,-0.9373771,0.58415,-0.75681,-0.29327,-0.71244,-0.65122,0.26144,-0.38884,0.05622,-0.91959,0.016584264,0.086721756,1.194005
0.1007222339976579,0.04313361000000002,-0.06684328,1.09350777,0.018197637,0.08569977,1.1342776,0.6478133,-0.647593,-0.40119976,-0.70976603,-0.7043789,-0.009085357,-0.27671304,0.29064357,-0.91594553,0.6578675,-0.654745,0.3721819,-0.654745,-0.73836046,-0.1287889,0.3721819,-0.16165648,-0.91918117,0.59186,-0.75412,-0.28461,-0.69389,-0.65636,0.29616,-0.41014,0.0222,-0.91175,0.018581659,0.08560684,1.133847
0.1175578249967657,0.04334933000000002,-0.06625020000000001,1.06509892,0.018173713,0.08509867,1.0798432,0.6166107,-0.6500536,-0.4440963,-0.7464171,-0.66207135,-0.067253225,-0.25030524,0.37295014,-0.89345145,0.62646985,-0.6602951,0.4141809,-0.6602951,-0.7104376,-0.0740247,0.4141809,-0.24349284,-0.9071794,0.5972,-0.74993,-0.28454,-0.68416,-0.66142,0.30733,-0.41867,0.01113,-0.90807,0.018611064,0.08504917,1.0792531
0.13423453402356245,0.19,0.143,1.564,0.017270233,0.08309467,1.0273883,0.6193744,-0.65236485,-0.4368014,-0.73147666,-0.68159467,-0.019252505,-0.28516185,0.33143455,-0.8993519,0.6304116,-0.6611357,0.4067933,-0.6611357,-0.72425175,-0.1266928,0.4067933,-0.19585451,-0.9046923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017724393,0.08299311,1.0268586
0.15106143700540997,0.04054682000000001,-0.06133275000000002,0.95391256,0.016072983,0.080620855,0.98224026,0.6089376,-0.6390946,-0.46984372,-0.74717075,-0.66101646,-0.06923215,-0.26632854,0.3932115,-0.8800306,0.6194077,-0.6499378,0.44035777,-0.6499378,-0.71434784,-0.075792156,0.44035777,-0.25939932,-0.89461756,0.61318,-0.74262,-0.26932,-0.65006,-0.66807,0.36208,-0.44881,-0.04695,-0.89239,0.016586443,0.08061589,0.98221666
0.16783114901045337,0.03871788000000001,-0.05973107,0.9269215000000001,0.012625236,0.07816061,0.9385201,0.59838605,-0.6266805,-0.49920505,-0.76014376,-0.64096224,-0.10653114,-0.2532106,0.44321436,-0.85991013,0.6065308,-0.6367798,0.47605872,-0.6367798,-0.7036072,-0.037043046,0.47605872,-0.31535444,-0.87863296,0.59331,-0.75816,-0.27052,-0.64585,-0.64893,0.4022,-0.48048,-0.06391,-0.87467,0.013179579,0.078141704,0.93779945
0.184656969999196,0.03398822000000001,-0.057370910000000025,0.87675628,0.009122956,0.07562489,0.8992939,0.6028891,-0.63053155,-0.48882985,-0.75883543,-0.6423828,-0.107299164,-0.24636036,0.43563092,-0.8657553,0.6089683,-0.6380293,0.47124964,-0.6380293,-0.70512784,-0.03982244,0.47124964,-0.30937582,-0.8811004,0.56476,-0.76841,-0.301,-0.62274,-0.63614,0.45554,-0.54152,-0.06982,-0.83778,0.0097006755,0.07562283,0.8987738
