Frame,TimeCV,tVec0_0,tVec0_1,tVec0_2,tVec1_0,tVec1_1,tVec1_2,rVec0_0,rVec0_1,rVec0_2,rVec1_0,rVec1_1,rVec1_2,reprojError0,reprojError1
1,0.5527921879838686,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
2,0.5677156650053803,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
3,0.5845502360025421,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
4,0.6013370100117754,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
5,0.6181588220060803,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
6,0.6349194970098324,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
7,0.651739783002995,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
8,0.6685202569933608,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
9,0.685345108009642,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
10,0.7021433849877212,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
11,0.7189114920038264,-0.03495214461856905,0.053984664806561534,1.583144196461175,-0.03456462837882072,0.05397267253452394,1.5817534648240579,-2.8844778007373018,-0.7227343425568743,0.845387445292413,2.7977825568881554,0.7321898871722644,0.8654280574655455,0.31791929353234416,0.3916970556573607
12,0.7357657850079704,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
13,0.7525262309936807,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
14,0.7693101910117548,-0.03462817950761558,0.055196877327166764,1.599035409114857,-0.03427583169201555,0.05516003462180958,1.5977483381579136,-2.8832859720498094,-0.7629490702727415,0.7046146293309132,2.7966803499221355,0.7662346045844077,0.7247062287769058,0.2062553682423058,0.29606585412663
15,0.7862621659878641,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
16,0.8029494140064344,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
17,0.8197249420045409,-0.032665658398112564,0.05140553189411418,1.524567614995166,-0.033053609645631955,0.05134563416143712,1.5244416531265277,2.762222595632073,0.7616485014289163,0.9803823189587705,-2.848098015115739,-0.7484664786310914,0.966739720461051,0.25408210815652693,0.2551828791691014
18,0.8365798149898183,-0.03495214461856905,0.053984664806561534,1.583144196461175,-0.03456462837882072,0.05397267253452394,1.5817534648240579,-2.8844778007373018,-0.7227343425568743,0.845387445292413,2.7977825568881554,0.7321898871722644,0.8654280574655455,0.31791929353234416,0.3916970556573607
19,0.8533027039957233,-0.03279768581580766,0.05259554702017906,1.5425358377498757,-0.03243156211848797,0.052636889852769105,1.542535838231414,-2.863028742116581,-0.7911400838301017,0.8427406123780788,2.776626591361118,0.7992090917890713,0.8560285673836084,0.054969478438210914,0.05663041983038553
