Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
0.0,0.04699081000000002,-0.023613370000000022,1.3577810000000001,0.026190294,0.045385215,1.4961063,0.7443095,-0.6369047,0.20088758,-0.55309457,-0.75646544,-0.34906512,0.37428573,0.14870265,-0.9153129,0.73133874,-0.64092255,-0.23315646,-0.64092255,-0.7633528,0.2937504,-0.23315646,-0.08068943,-0.92701066,0.71524,-0.59421,-0.36789,-0.65563,-0.75279,-0.05877,-0.24202,0.28323,-0.92801,0.026011713,0.045612454,1.4954345
0.0167729819950182,0.04761205000000002,-0.023907680000000014,1.33490282,0.026811691,0.046676993,1.4695066,0.7661316,-0.6322751,-0.11519807,-0.5416005,-0.73167366,0.41391134,-0.34599322,-0.2547192,-0.9029988,0.7788765,-0.6217094,0.08263637,-0.6217094,-0.7133725,-0.47031254,0.08263637,0.32338375,-0.8786224,0.71419,-0.59233,-0.37293,-0.65057,-0.75831,-0.04148,-0.25823,0.27224,-0.92693,0.026886476,0.046341695,1.4695066
0.0335834099969361,0.049180890000000005,-0.025581710000000007,1.28635636,0.028135052,0.04829565,1.4470499,0.72983664,-0.6428431,-0.23257521,-0.5824759,-0.76284903,0.28068343,-0.35785517,-0.06938359,-0.9311958,0.74369633,-0.63876116,0.19723068,-0.63876116,-0.7557587,-0.3420764,0.19723068,0.14426701,-0.91874033,0.66788,-0.61706,-0.41614,-0.68361,-0.72969,-0.01516,-0.2943,0.2946,-0.90917,0.02830141,0.04803787,1.4467783
0.05037750498740934,0.05265217999999999,-0.026259510000000014,1.23358973,0.02956542,0.0490079,1.4240117,0.75555134,-0.6501208,0.08053025,-0.5730529,-0.71548533,-0.39961365,0.31741536,0.25578055,-0.9131395,0.74252826,-0.659168,-0.11895076,-0.659168,-0.7303295,0.33657584,-0.11895076,-0.17921032,-0.9341132,0.64499,-0.63948,-0.41839,-0.70276,-0.71142,0.00398,-0.3002,0.29146,-0.90826,0.029470958,0.04928385,1.4233465
0.06717697100248188,0.053447560000000005,-0.026270039999999995,1.20579875,0.0292162,0.048174005,1.3594345,0.7074919,-0.6716927,-0.21973646,-0.6145735,-0.73826295,0.27796993,-0.34893367,-0.06161726,-0.93511957,0.72278374,-0.6672867,0.17975567,-0.6672867,-0.7309466,-0.3443581,0.17975567,0.14298776,-0.92146915,0.62778,-0.65331,-0.42318,-0.7122,-0.70148,0.02642,-0.31411,0.2848,-0.90566,0.029374277,0.04788805,1.3588686
0.08398163598030806,0.05403670999999999,-0.026020460000000023,1.1490469700000001,0.030996785,0.046343513,1.2852229,0.68594104,-0.67456526,0.27284908,-0.5965198,-0.73602927,-0.32003906,0.41671214,0.05676803,-0.90726423,0.6661871,-0.67524827,-0.31659836,-0.67524827,-0.7370458,0.2549214,-0.31659836,0.028340561,-0.91366327,0.59679,-0.67785,-0.42937,-0.72141,-0.68755,0.08273,-0.35129,0.26038,-0.89933,0.030723747,0.04657987,1.2847127
0.10077519799233414,0.0536827,-0.026368360000000007,1.09341981,0.03115683,0.046060722,1.2492048,0.6672232,-0.6967372,0.26338285,-0.62022614,-0.71549875,-0.32152927,0.4124715,0.051174864,-0.90953195,0.6470898,-0.697119,-0.30870688,-0.697119,-0.7160616,0.25473633,-0.30870688,0.03579016,-0.91641116,0.57012,-0.67556,-0.46753,-0.72331,-0.6826,0.10429,-0.38959,0.27871,-0.8778,0.030884076,0.04630685,1.2487359
0.11760286599746905,0.05324860000000001,-0.02632979000000002,1.0655504100000002,0.030497622,0.044781968,1.1947472,0.6179601,-0.703689,-0.35063824,-0.6814231,-0.70183754,0.20757301,-0.3921579,0.110661194,-0.91321754,0.638544,-0.70708805,0.3037894,-0.70708805,-0.7067905,-0.2758374,0.3037894,-0.021763174,-0.91193515,0.55832,-0.682,-0.4724,-0.72245,-0.67961,0.12731,-0.40787,0.27021,-0.87214,0.030810023,0.04455117,1.1947472
0.1343755970010534,0.05234657000000001,-0.025666000000000022,1.01069976,0.02954059,0.044601798,1.1403457,0.6077114,-0.68838036,-0.39600432,-0.68944657,-0.7047932,0.16712263,-0.3941451,0.1714615,-0.9029123,0.62847954,-0.6948493,0.34956807,-0.6948493,-0.71462756,-0.23771632,0.34956807,-0.08057195,-0.90625226,0.54094,-0.70754,-0.45472,-0.71996,-0.66904,0.18453,-0.43479,0.22756,-0.87131,0.029896466,0.044380266,1.139809
0.1511719139816705,0.050163450000000026,-0.02496508,0.96118549,0.028165301,0.04369114,1.071343,0.5869539,-0.6998096,-0.4071261,-0.68573767,-0.6970413,0.20951684,-0.4304056,0.15620498,-0.88901687,0.61035585,-0.7055871,0.36001757,-0.7055871,-0.70591474,-0.2818693,0.36001757,-0.061897207,-0.8893464,0.54043,-0.70231,-0.46336,-0.69131,-0.68455,0.23126,-0.47961,0.19535,-0.85546,0.028563246,0.04343625,1.071343
